stock_id,industry_id,sector_id,stock_symbol,stock_name,stock_price,market_cap,last_updated
22167,10161,75831,MMM,3M Company,152.94,82309398528,2025-07-05 14:58:26
51059,70273,75831,AOS,A.O. Smith Corporation,67.92,9652042752,2025-07-05 14:58:27
84633,49581,70676,ABT,Abbott Laboratories,134.44,233904095232,2025-07-05 14:58:28
74803,25612,70676,ABBV,AbbVie Inc.,189.28,334344192000,2025-07-05 14:58:30
60091,86310,32325,ACN,Accenture plc,304.78,189833134080,2025-07-05 14:58:31
32385,52394,32325,ADBE,Adobe Inc.,379.31,160903299072,2025-07-05 14:58:32
12977,80347,32325,AMD,"Advanced Micro Devices, Inc.",137.91,223607291904,2025-07-05 14:58:33
28194,61652,21722,AES,The AES Corporation,11.52,8201353216,2025-07-05 14:58:34
97215,19193,78746,AFL,AFLAC Incorporated,104.57,56535244800,2025-07-05 14:58:36
21573,89491,70676,A,"Agilent Technologies, Inc.",121.38,34479808512,2025-07-05 14:58:37
23074,66253,48302,APD,"Air Products and Chemicals, Inc",291.84,64947240960,2025-07-05 14:58:38
59161,59546,14637,ABNB,"Airbnb, Inc.",136.49,84243406848,2025-07-05 14:58:39
62165,58521,32325,AKAM,"Akamai Technologies, Inc.",79.48,11312865280,2025-07-05 14:58:41
60312,66253,48302,ALB,Albemarle Corporation,67.21,7907995648,2025-07-05 14:58:42
64908,68032,53396,ARE,Alexandria Real Estate Equities,76.92,13306312704,2025-07-05 14:58:43
84056,31140,70676,ALGN,"Align Technology, Inc.",196.82,14266459136,2025-07-05 14:58:44
69912,89010,75831,ALLE,Allegion plc,148.11,12744761344,2025-07-05 14:58:46
72633,98588,21722,LNT,Alliant Energy Corporation,61.53,15805580288,2025-07-05 14:58:47
68803,41990,78746,ALL,Allstate Corporation (The),198.0,52433965056,2025-07-05 14:58:48
77556,16160,33817,GOOGL,Alphabet Inc.,179.53,2184126005248,2025-07-05 14:58:49
24962,16160,33817,GOOG,Alphabet Inc.,180.55,2184113422336,2025-07-05 14:58:50
77371,43694,61028,MO,"Altria Group, Inc.",59.65,100477444096,2025-07-05 14:58:52
94261,88470,14637,AMZN,"Amazon.com, Inc.",223.41,2371809968128,2025-07-05 14:58:53
94880,98105,14637,AMCR,Amcor plc,9.63,22065604608,2025-07-05 14:58:54
67061,98588,21722,AEE,Ameren Corporation,96.02,26032173056,2025-07-05 14:58:55
57163,98588,21722,AEP,American Electric Power Company,103.86,55481495552,2025-07-05 14:58:57
15950,36583,78746,AXP,American Express Company,328.13,229884264448,2025-07-05 14:58:58
37654,26270,78746,AIG,"American International Group, I",83.18,47939129344,2025-07-05 14:58:59
72052,62846,53396,AMT,American Tower Corporation (REI,221.75,103809597440,2025-07-05 14:59:00
87840,63835,21722,AWK,"American Water Works Company, I",140.05,27311431680,2025-07-05 14:59:02
98000,24671,78746,AMP,"Ameriprise Financial, Inc.",543.3,51734495232,2025-07-05 14:59:03
29159,70273,75831,AME,"AMETEK, Inc.",184.19,42525605888,2025-07-05 14:59:04
16798,25612,70676,AMGN,Amgen Inc.,298.24,160365428736,2025-07-05 14:59:05
94482,77970,32325,APH,Amphenol Corporation,99.46,120306810880,2025-07-05 14:59:06
42344,80347,32325,ADI,"Analog Devices, Inc.",245.68,121918201856,2025-07-05 14:59:08
12345,52394,32325,ANSS,"ANSYS, Inc.",367.48,32307408896,2025-07-05 14:59:09
84971,91752,78746,AON,Aon plc,354.76,76606873600,2025-07-05 14:59:10
16892,91937,11172,APA,APA Corporation,19.53,7047303168,2025-07-05 14:59:11
61208,24671,78746,APO,"Apollo Global Management, Inc. ",144.47,82563743744,2025-07-05 14:59:13
33233,92605,32325,AAPL,Apple Inc.,213.55,3189540126720,2025-07-05 14:59:14
89021,44305,32325,AMAT,"Applied Materials, Inc.",191.05,153317244928,2025-07-05 14:59:15
25226,98872,14637,APTV,Aptiv PLC,72.56,15798488064,2025-07-05 14:59:16
75467,26270,78746,ACGL,Arch Capital Group Ltd.,89.19,33424400384,2025-07-05 14:59:18
48157,77870,61028,ADM,Archer-Daniels-Midland Company,55.31,26573688832,2025-07-05 14:59:19
23009,49593,32325,ANET,"Arista Networks, Inc.",102.52,128756916224,2025-07-05 14:59:20
74759,91752,78746,AJG,Arthur J. Gallagher & Co.,318.1,81450459136,2025-07-05 14:59:21
74480,41990,78746,AIZ,"Assurant, Inc.",193.47,9809374208,2025-07-05 14:59:23
67507,58828,33817,T,AT&T Inc.,28.36,204212994048,2025-07-05 14:59:24
71147,19750,21722,ATO,Atmos Energy Corporation,152.28,24187697152,2025-07-05 14:59:25
22960,52394,32325,ADSK,"Autodesk, Inc.",316.66,67747823616,2025-07-05 14:59:26
11472,52394,32325,ADP,"Automatic Data Processing, Inc.",309.2,125511401472,2025-07-05 14:59:28
18486,98872,14637,AZO,"AutoZone, Inc.",3769.26,63054819328,2025-07-05 14:59:29
83933,54859,53396,AVB,"AvalonBay Communities, Inc.",202.57,28839487488,2025-07-05 14:59:30
66003,98105,14637,AVY,Avery Dennison Corporation,183.24,14324897792,2025-07-05 14:59:31
11900,74626,75831,AXON,"Axon Enterprise, Inc.",795.48,61928751104,2025-07-05 14:59:32
54388,69887,11172,BKR,Baker Hughes Company,39.64,39273328640,2025-07-05 14:59:34
85306,98105,14637,BALL,Ball Corporation,58.73,16292758528,2025-07-05 14:59:35
65456,39541,78746,BAC,Bank of America Corporation,48.93,368534880256,2025-07-05 14:59:36
15341,31140,70676,BAX,Baxter International Inc.,31.01,15913556992,2025-07-05 14:59:37
61177,31140,70676,BDX,"Becton, Dickinson and Company",176.16,50488692736,2025-07-05 14:59:39
70070,26270,78746,BRK-B,Berkshire Hathaway Inc. New,485.0,1046280798208,2025-07-05 14:59:40
38825,58964,14637,BBY,"Best Buy Co., Inc.",72.1,15238119424,2025-07-05 14:59:41
94689,30592,70676,TECH,Bio-Techne Corp,53.14,8330598912,2025-07-05 14:59:42
10683,25612,70676,BIIB,Biogen Inc.,132.87,19469174784,2025-07-05 14:59:43
26432,24671,78746,BLK,"BlackRock, Inc.",1082.15,167653179392,2025-07-05 14:59:45
80578,24671,78746,BX,Blackstone Inc.,155.13,188208365568,2025-07-05 14:59:46
49872,39541,78746,BK,The Bank of New York Mellon Cor,92.43,66127564800,2025-07-05 14:59:47
88509,74626,75831,BA,Boeing Company (The),215.92,162804973568,2025-07-05 14:59:48
98306,59546,14637,BKNG,Booking Holdings Inc. Common St,5716.8,186026377216,2025-07-05 14:59:50
69891,49581,70676,BSX,Boston Scientific Corporation,104.32,154336215040,2025-07-05 14:59:51
53221,25612,70676,BMY,Bristol-Myers Squibb Company,46.92,95485943808,2025-07-05 14:59:52
40827,80347,32325,AVGO,Broadcom Inc.,275.18,1294300872704,2025-07-05 14:59:53
